wl,aveleaf
300,10.26866981
305,9.854439311
310,9.798531692
315,9.614457861
320,9.042469974
325,9.154135654
330,9.052292605
335,8.97514259
340,8.905843309
345,9.015279595
350,8.996189424
355,9.161279576
360,9.421632997
365,9.545834106
370,9.335511075
375,9.369494785
380,9.549681656
385,9.54805367
390,9.621207274
395,9.715004186
400,9.707927439
405,9.641045549
410,9.657384511
415,9.718113839
420,9.866790682
425,9.981152287
430,10.07703451
435,10.20324024
440,10.30600765
445,10.44399397
450,10.58403953
455,10.6897723
460,10.7577973
465,10.77664158
470,10.74543085
475,10.70006228
480,10.66589832
485,10.65985343
490,10.72607111
495,10.88908801
500,11.17259612
505,11.60052181
510,12.24767801
515,13.12893576
520,14.24366889
525,15.41715376
530,16.40043262
535,17.07466974
540,17.47546601
545,17.75357265
550,17.98085581
555,18.02057568
560,17.78983843
565,17.28994506
570,16.59557399
575,15.89130333
580,15.34271359
585,14.95195669
590,14.67860998
595,14.51927248
600,14.39171096
605,14.17752296
610,13.86832907
615,13.59538231
620,13.45510357
625,13.31879861
630,13.16168174
635,12.97578439
640,12.65646009
645,12.25284623
650,11.90313143
655,11.63457867
660,11.30503995
665,10.98346647
670,10.83088725
675,10.9088704
680,11.19898498
685,11.74543652
690,12.84624634
695,15.03015785
700,18.50520759
705,22.90509369
710,27.80884497
715,33.05575489
720,38.50455326
725,43.81946648
730,48.6438989
735,52.74886568
740,55.89404061
745,58.07900931
750,59.49146206
755,60.37203682
760,60.89304188
765,61.19654851
770,61.35451315
775,61.45925389
780,61.56400811
785,61.67785324
790,61.78891718
795,61.91979793
800,62.05165402