name,colour,type
Calodema regalis,#ad6a26ff,beetle
Castiarina australasiae black,#0b0c0eff,beetle
Castiarina australasiae yellow,#fcd13cff,beetle
Castiarina dimidiata,#6c9276ff,beetle
Castiarina erythroptera,#c93b1fff,beetle
Castiarina ignota,#cb3b24ff,beetle
Castiarina imitator,#512841ff,beetle
Castiarina luteipennis,#e9be41ff,beetle
Castiarina punctatosulcata,#f6e7b2ff,beetle
Castiarina scalaris,#339662ff,beetle
Castiarina thomsoni black,#272622ff,beetle
Castiarina thomsoni red,#d33422ff,beetle
Chalcophorotaenia australasiae,#2b2158ff,beetle
Cyphogastra farinosa,#2f613aff,beetle
Cyria imperialis,#faa346ff,beetle
Julodimorpha bakewelli,#ef9b3eff,beetle
Melobasis cuprifera,#e15d5fff,beetle
Melobasis ordinata,#535e36ff,beetle
Melobasis propinqua,#49673aff,beetle
Melobasis sp,#205f5bff,beetle
Merimna atrata,#262326ff,beetle
Metataenia aurofoveata,#e1cf3dff,beetle
Pseudotaenia ajax,#137117ff,beetle
Pseudotaenia gigas,#0d5921ff,beetle
Selagis olivacea,#3a2839ff,beetle
Selagis viridicyanea,#00528eff,beetle
Stigmodera cancellata green,#426421ff,beetle
Stigmodera cancellata red,#e91c1dff,beetle
Stigmodera gratiosa,#007790ff,beetle
Stigmodera macularia,#ffbe38ff,beetle
Temognatha bonvouloirii purple,#262876ff,beetle
Temognatha bonvouloirii red,#ad2b37ff,beetle
Temognatha bruckii,#fc9431ff,beetle
Temognatha chalcodera,#af1715ff,beetle
Temognatha obscuripennis,#3d1137ff,beetle
Temognatha oleata purple,#22166aff,beetle
Temognatha oleata red,#e24630ff,beetle
Acacia glaucoptera,#fdf300ff,flower
Acacia spilleriana,#ffe400ff,flower
Actinotus helianthi,#ffffffff,flower
Callistemon phoeniceus,#f60000ff,flower
Callistemon salignus,#f3f9dfff,flower
Calothamnus quadrifidus,#ed0000ff,flower
Chamelaucium 'Lilac Spring',#e1cbe8ff,flower
Chamelaucium uncinatum,#ffd8e9ff,flower
Chorizema cordatum orange,#ff8500ff,flower
Chorizema cordatum red,#ff007cff,flower
Daviesia longifolia,#f2cf00ff,flower
Epacris impressa 'Bega',#c40036ff,flower
Epacris longiflora,#fe003cff,flower
Eremophila calorhabdos,#db4881ff,flower
Eremophila georgei,#d78fd6ff,flower
Eremophila hygrophana,#9f16baff,flower
Eremophila laanii,#fcfffcff,flower
Eremophila maculata,#fc0087ff,flower
Eremophila nivea,#af42c1ff,flower
Eriostemon australasius,#eab9e0ff,flower
Eucalyptus celastroides,#f2f5e9ff,flower
Eucalyptus petiolaris,#fbf722ff,flower
Eucalyptus sp1,#e8ece2ff,flower
Eucalyptus sp2,#b50953ff,flower
Eucalyptus sp3,#f3f3f2ff,flower
Eucalyptus wyolensis,#fff1c0ff,flower
Gastrolobium bilobus,#ff7800ff,flower
Goodenia scapigera,#fbfbfbff,flower
Goodenia sp,#f6fb00ff,flower
Grevillea asteriscosa,#ff0000ff,flower
Grevillea barklyana,#f8003bff,flower
Grevillea eriostachys,#e4c604ff,flower
Grevillea x semperflorens,#ff6477ff,flower
Leptospermum 'Freya',#fdabd1ff,flower
Leptospermum liversidgei,#f0f5f4ff,flower
Melaleuca conothamnoides,#ff00a4ff,flower
Melaleuca fulgens,#ff7217ff,flower
Melaleuca spathulata,#ff00d8ff,flower
Olearia homolepis,#e9c0f3ff,flower
Ozothamnus diosmifolius,#deeadfff,flower
Phebalium sp,#e1ee00ff,flower
Scholtzia capitata,#f7c2e1ff,flower
Scholtzia spathulata,#e6cbd5ff,flower
Senna artemisioides ,#f3fa00ff,flower
Senna sp,#feed00ff,flower
Verticordia dichroma,#e400bcff,flower
Verticordia plumosa,#cb41a6ff,flower