wl,"LWS(570,A1, filter580)","LWS(570,A1, filter600)","LWS(570,A1, filter620)","LWS(570,A1, filter640)","LWS(570,A1, filter660)"
300,2.12218E-35,4.9949E-150,0,0,0
305,4.23034E-32,8.062E-136,0,0,0
310,4.09233E-29,5.7849E-123,0,0,0
315,2.05802E-26,2.4817E-111,7.1222E-284,0,0
320,5.72595E-24,8.3221E-101,6.2756E-257,0,0
325,9.32461E-22,2.78023E-91,1.5084E-232,0,0
330,9.35265E-20,1.15243E-82,1.7348E-210,0,0
335,6.05048E-18,7.22909E-75,1.5872E-190,0,0
340,2.6322E-16,8.21344E-68,1.8299E-172,0,0
345,7.9969E-15,1.98862E-61,4.0311E-156,0,0
350,1.75564E-13,1.18866E-55,2.4727E-141,1.9822E-295,0
355,2.87269E-12,2.00382E-50,5.9385E-128,2.197E-267,0
360,3.6027E-11,1.07464E-45,7.6009E-116,5.2205E-242,0
365,3.55178E-10,2.04457E-41,6.8533E-105,4.7727E-219,0
370,2.81637E-09,1.52304E-37,5.60303E-95,2.8495E-198,0
375,1.83383E-08,4.85667E-34,5.21971E-86,1.7934E-179,0
380,9.99075E-08,7.18709E-31,6.81296E-78,1.835E-162,0
385,4.63206E-07,5.30984E-28,1.50215E-70,4.5175E-147,2.2068E-301
390,1.8559E-06,2.09234E-25,6.62642E-64,3.8148E-133,9.0154E-273
395,6.51591E-06,4.66858E-23,6.81599E-58,1.5232E-120,6.9741E-247
400,2.02997E-05,6.22649E-21,1.87775E-52,3.8449E-109,1.8551E-223
405,5.67599E-05,5.21285E-19,1.57055E-47,7.9789E-99,2.9114E-202
410,0.000143912,2.86369E-17,4.46721E-43,1.72666E-89,4.3931E-183
415,0.000333967,1.0745E-15,4.78816E-39,4.83175E-81,9.9165E-166
420,0.000715347,2.85546E-14,2.12218E-35,2.12409E-73,4.9949E-150
425,0.001425112,5.55378E-13,4.23034E-32,1.74947E-66,8.062E-136
430,0.002658864,8.14415E-12,4.09233E-29,3.16607E-60,5.7849E-123
435,0.00467486,9.2495E-11,2.05802E-26,1.45427E-54,2.4817E-111
440,0.007789678,8.3362E-10,5.72595E-24,1.93173E-49,8.3221E-101
445,0.012364254,6.0947E-09,9.32461E-22,8.3503E-45,2.78023E-91
450,0.018781149,3.68738E-08,9.35265E-20,1.30709E-40,1.15243E-82
455,0.027415692,1.8797E-07,6.05048E-18,8.16097E-37,7.22909E-75
460,0.038604972,8.20622E-07,2.6322E-16,2.21816E-33,8.21344E-68
465,0.052618919,3.11379E-06,7.9969E-15,2.84075E-30,1.98862E-61
470,0.069637209,1.04069E-05,1.75564E-13,1.84145E-27,1.18866E-55
475,0.089734524,3.10089E-05,2.87269E-12,6.4464E-25,2.00382E-50
480,0.112875226,8.32776E-05,3.6027E-11,1.2923E-22,1.07464E-45
485,0.138917127,0.000203583,3.55178E-10,1.56439E-20,2.04457E-41
490,0.167622906,0.0004571,2.81637E-09,1.19978E-18,1.52304E-37
495,0.198677097,0.000950283,1.83383E-08,6.08836E-17,4.85667E-34
500,0.231706316,0.001842673,9.99075E-08,2.12622E-15,7.18709E-31
505,0.266300526,0.003354866,4.63206E-07,5.29507E-14,5.30984E-28
510,0.302033493,0.005769502,1.8559E-06,9.71096E-13,2.09234E-25
515,0.338481085,0.009423108,6.51591E-06,1.35029E-11,4.66858E-23
520,0.375236542,0.01468842,2.02997E-05,1.46151E-10,6.22649E-21
525,0.411922342,0.021948785,5.67599E-05,1.26109E-09,5.21285E-19
530,0.448198619,0.031567933,0.000143912,8.86382E-09,2.86369E-17
535,0.483768382,0.043859306,0.000333967,5.17495E-08,1.0745E-15
540,0.518379946,0.059059078,0.000715347,2.55429E-07,2.85546E-14
545,0.551827077,0.077306177,0.001425112,1.08306E-06,5.55378E-13
550,0.58394736,0.098631265,0.002658864,4.00248E-06,8.14415E-12
555,0.614619282,0.122955163,0.00467486,1.30613E-05,9.2495E-11
560,0.64375848,0.150095896,0.007789678,3.80856E-05,8.3362E-10
565,0.671313498,0.179782613,0.012364254,0.000100301,6.0947E-09
570,0.697261374,0.211674149,0.018781149,0.000240898,3.68738E-08
575,0.721603258,0.245379916,0.027415692,0.000532288,1.8797E-07
580,0.744360241,0.28048104,0.038604972,0.001090675,8.20622E-07
585,0.765569481,0.316550086,0.052618919,0.002087353,3.11379E-06
590,0.785280722,0.353168226,0.069637209,0.00375552,1.04069E-05
595,0.803553199,0.389939167,0.089734524,0.006389557,3.10089E-05
600,0.820452962,0.426499626,0.112875226,0.010334937,8.32776E-05
605,0.836050595,0.462526426,0.138917127,0.015968768,0.000203583
610,0.850419305,0.497740548,0.167622906,0.02367297,0.0004571
615,0.863633351,0.531908581,0.198677097,0.033803608,0.000950283
620,0.875766772,0.564842096,0.231706316,0.046660644,0.001842673
625,0.886892385,0.596395444,0.266300526,0.062462134,0.003354866
630,0.89708101,0.62646246,0.302033493,0.081325928,0.005769502
635,0.906400892,0.654972465,0.338481085,0.103260554,0.009423108
640,0.914917284,0.681885935,0.375236542,0.128165458,0.01468842
645,0.922692173,0.707190069,0.411922342,0.155839594,0.021948785
650,0.929784107,0.730894479,0.448198619,0.185996458,0.031567933
655,0.936248118,0.753027127,0.483768382,0.218283292,0.043859306
660,0.942135716,0.773630603,0.518379946,0.252302185,0.059059078
665,0.947494935,0.792758792,0.551827077,0.28763104,0.077306177
670,0.952370425,0.810473956,0.58394736,0.323842869,0.098631265
675,0.956803566,0.826844211,0.614619282,0.360522345,0.122955163
680,0.96083262,0.8419414,0.64375848,0.397279051,0.150095896
685,0.964492877,0.85583932,0.671313498,0.433757259,0.179782613
690,0.96781683,0.86861228,0.697261374,0.469642392,0.211674149
695,0.970834338,0.880333937,0.721603258,0.504664509,0.245379916
700,0.973572799,0.891076389,0.744360241,0.538599303,0.28048104
705,0.976057317,0.900909487,0.765569481,0.571267121,0.316550086
710,0.978310866,0.909900321,0.785280722,0.6025305,0.353168226
715,0.980354444,0.918112863,0.803553199,0.632290707,0.389939167
720,0.982207229,0.925607741,0.820452962,0.660483648,0.426499626
725,0.983886716,0.932442099,0.836050595,0.687075497,0.462526426
730,0.985408853,0.93866956,0.850419305,0.712058274,0.497740548
735,0.986788169,0.944340234,0.863633351,0.735445575,0.531908581
740,0.988037889,0.94950079,0.875766772,0.757268575,0.564842096
745,0.989170047,0.954194552,0.886892385,0.777572375,0.596395444
750,0.990195584,0.958461637,0.89708101,0.796412757,0.62646246
755,0.991124444,0.962339098,0.906400892,0.813853342,0.654972465
760,0.991965662,0.965861085,0.914917284,0.829963151,0.681885935
765,0.992727443,0.969059019,0.922692173,0.844814547,0.707190069
770,0.993417235,0.971961752,0.929784107,0.858481536,0.730894479
775,0.994041798,0.974595747,0.936248118,0.871038381,0.753027127
780,0.994607264,0.976985234,0.942135716,0.882558492,0.773630603
785,0.995119196,0.97915238,0.947494935,0.893113568,0.792758792
790,0.995582639,0.981117438,0.952370425,0.902772941,0.810473956
795,0.996002165,0.982898894,0.956803566,0.911603103,0.826844211
800,0.99638192,0.984513609,0.96083262,0.919667373,0.8419414