wl,"UVS(355,A1)","SWS(455,A1)","MWS(560,A1)","LWS(570,A1, filter660)"
300,0.510902653,0.167842762,0.104964267,0
305,0.572002947,0.191470574,0.119933033,0
310,0.627582469,0.214018181,0.135594431,0
315,0.679337524,0.234492401,0.151688588,0
320,0.729610206,0.251993485,0.16790944,0
325,0.780286852,0.265820197,0.183913121,0
330,0.831884988,0.27556535,0.199329463,0
335,0.883073622,0.281189072,0.213776198,0
340,0.930661001,0.283059487,0.226875214,0
345,0.969923262,0.281954515,0.238270018,0
350,0.995106262,0.279023487,0.247643381,0
355,1,0.275712163,0.254734099,0
360,0.978592974,0.273658821,0.259351802,0
365,0.925902632,0.274571555,0.261388858,0
370,0.839163394,0.280097854,0.260828608,0
375,0.719666175,0.291697028,0.257749456,0
380,0.575315258,0.310524874,0.252324611,0
385,0.422344932,0.337338648,0.24481763,8.2836E-300
390,0.282201983,0.372429271,0.235574209,3.276E-271
395,0.172191195,0.415586454,0.22501094,2.4339E-245
400,0.097469902,0.466100473,0.213601897,6.1739E-222
405,0.052328141,0.522800776,0.201864065,9.1841E-201
410,0.027215806,0.584126465,0.190342555,1.3077E-181
415,0.013941227,0.648217823,0.179596477,2.7787E-164
420,0.007113738,0.713013453,0.170186101,1.3177E-148
425,0.003642031,0.776336371,0.162661697,2.0093E-134
430,0.001879034,0.835956079,0.157554094,1.3723E-121
435,0.000979427,0.889622163,0.155366693,5.6714E-110
440,0.000516492,0.935076953,0.156568383,1.8627E-99
445,0.00027575,0.97006787,0.161586585,6.22085E-90
450,0.00014909,0.992390847,0.170799574,2.63821E-81
455,8.16345E-05,1,0.184527294,1.73411E-73
460,4.52622E-05,0.991209069,0.203020136,2.11159E-66
465,2.54061E-05,0.964980959,0.226445589,5.58707E-60
470,1.44333E-05,0.921253856,0.254873272,3.70579E-54
475,8.29632E-06,0.861201835,0.288259516,7.0073E-49
480,4.82351E-06,0.787307807,0.326433239,4.24267E-44
485,2.8357E-06,0.703168634,0.369085231,9.13823E-40
490,1.68516E-06,0.613053882,0.415762964,7.70421E-36
495,1.01197E-06,0.52134843,0.46587248,2.77312E-32
500,6.13923E-07,0.432053808,0.518687955,4.61191E-29
505,3.76139E-07,0.348472989,0.573368236,3.8075E-26
510,2.32674E-07,0.273094253,0.628978272,1.66559E-23
515,1.45276E-07,0.207595037,0.6845124,4.09619E-21
520,9.15314E-08,0.152865093,0.738916044,5.97605E-19
525,5.81789E-08,0.109008363,0.791102852,5.4305E-17
530,3.72968E-08,0.07537118,0.839965588,3.21252E-15
535,2.41094E-08,0.050675116,0.884381127,1.28769E-13
540,1.57112E-08,0.033270685,0.923212264,3.62634E-12
545,1.03191E-08,0.02143702,0.955311589,7.41365E-11
550,6.82962E-09,0.013623997,0.979534693,1.13329E-09
555,4.55385E-09,0.008580448,0.994771052,1.33036E-08
560,3.05847E-09,0.005376652,1,1.22838E-07
565,2.06866E-09,0.003362849,0.994375468,9.1158E-07
570,1.40881E-09,0.00210463,0.977335898,5.54319E-06
575,9.65869E-10,0.001320457,0.948725482,2.8104E-05
580,6.66514E-10,0.000831648,0.908902187,0.000120666
585,4.62866E-10,0.000526305,0.858801476,0.000444934
590,3.23433E-10,0.000334891,0.799927491,0.00142688
595,2.27368E-10,0.000214353,0.734258263,0.004025659
600,1.60778E-10,0.00013805,0.664074966,0.010096684
605,1.14343E-10,8.94731E-05,0.591748483,0.022728263
610,8.17751E-11,5.8362E-05,0.519529047,0.046324636
615,5.88029E-11,3.83138E-05,0.449380996,0.086180832
620,4.25096E-11,2.53137E-05,0.382887134,0.147416255
625,3.08908E-11,1.68308E-05,0.321224353,0.233390395
630,2.25617E-11,1.12608E-05,0.265193158,0.344006093
635,1.65602E-11,7.58069E-06,0.215274156,0.474472252
640,1.22139E-11,5.13422E-06,0.171685414,0.615061468
645,9.05099E-12,3.498E-06,0.134424059,0.752160124
650,6.73812E-12,2.39715E-06,0.103289436,0.870535473
655,5.03893E-12,1.65215E-06,0.077897909,0.956333728
660,3.78486E-12,1.14507E-06,0.057704893,1
665,2.85516E-12,7.97985E-07,0.042045026,0.998226347
670,2.16291E-12,5.59094E-07,0.030189665,0.954301932
675,1.64526E-12,3.93781E-07,0.0214103,0.876811616
680,1.25654E-12,2.78776E-07,0.015033241,0.777244617
685,9.63442E-13,1.98353E-07,0.010475604,0.667402163
690,7.41562E-13,1.41828E-07,0.007260401,0.557383996
695,5.72935E-13,1.019E-07,0.005014723,0.454526
700,4.44287E-13,7.35592E-08,0.003457512,0.363234298
705,3.45771E-13,5.33463E-08,0.002382935,0.285414238
710,2.70052E-13,3.88628E-08,0.001643534,0.221154442
715,2.11644E-13,2.84373E-08,0.0011354,0.169414452
720,1.66432E-13,2.08989E-08,0.000786181,0.128583729
725,1.31312E-13,1.54242E-08,0.000545921,0.096873784
730,1.03941E-13,1.14311E-08,0.000380314,0.072558905
735,8.25364E-14,8.50639E-09,0.000265882,0.054101859
740,6.57445E-14,6.35528E-09,0.000186578,0.04020251
745,5.2529E-14,4.76676E-09,0.000131438,0.02980028
750,4.20958E-14,3.58903E-09,9.2964E-05,0.022052461
755,3.38339E-14,2.71246E-09,6.60182E-05,0.016302482
760,2.72717E-14,2.05754E-09,4.7074E-05,0.01204638
765,2.20444E-14,1.5664E-09,3.37031E-05,0.008901737
770,1.78683E-14,1.19673E-09,2.42283E-05,0.006580917
775,1.45227E-14,9.17478E-10,1.74876E-05,0.004869041
780,1.18349E-14,7.05791E-10,1.2673E-05,0.003606413
785,9.66969E-15,5.44762E-10,9.2203E-06,0.002674811
790,7.92086E-15,4.21854E-10,6.73458E-06,0.001986968
795,6.50463E-15,3.27728E-10,4.93802E-06,0.001478596
800,5.35478E-15,2.55409E-10,3.63452E-06,0.001102396