wl,UVS(380),SWS(460),MWS(520),LWS(580)
300,0.326229768,0.125232942,0.07596429,0.053441491
305,0.367922558,0.142980546,0.087018118,0.060940356
310,0.405719,0.160050956,0.098353121,0.068835819
315,0.440103355,0.175714376,0.109687283,0.077020817
320,0.472737495,0.189289648,0.120706228,0.085366471
325,0.506071701,0.200217544,0.131077971,0.093724696
330,0.542730476,0.208129823,0.140470722,0.101932084
335,0.5848411,0.212905425,0.148572593,0.109814957
340,0.633483668,0.214706406,0.155111827,0.117195434
345,0.68838873,0.213988589,0.159875997,0.123898244
350,0.747916046,0.211485059,0.16272863,0.129757946
355,0.809255692,0.208163905,0.163621929,0.1346262
360,0.868738198,0.205164468,0.162604542,0.13837866
365,0.922141082,0.203718295,0.159823832,0.140921121
370,0.964927414,0.205061884,0.155522546,0.142194544
375,0.992422825,0.210348143,0.150030329,0.142178676
380,1,0.220562737,0.143750924,0.14089407
385,0.983369151,0.236450542,0.137146208,0.138402411
390,0.939063455,0.258456707,0.130718363,0.134805171
395,0.865189439,0.286686357,0.124991412,0.130240728
400,0.762527279,0.320886468,0.120493164,0.124880191
405,0.636019621,0.360452286,0.117738266,0.118922241
410,0.496146725,0.404458277,0.117212632,0.112587356
415,0.358414216,0.451709993,0.119359152,0.106111792
420,0.238961618,0.500809169,0.124564281,0.099741693
425,0.147938193,0.550221181,0.133144976,0.09372764
430,0.08625832,0.598333221,0.145335592,0.088319855
435,0.048208119,0.643494035,0.161274718,0.083764211
440,0.026251587,0.684031605,0.180992497,0.080299032
445,0.014109498,0.718252651,0.204399601,0.078152592
450,0.007553674,0.744435529,0.231279564,0.077541072
455,0.004052534,0.760834125,0.26128627,0.078666671
460,0.00218718,0.765712894,0.293948046,0.081715483
465,0.001190287,0.757431186,0.328678847,0.086854765
470,0.000654073,0.734589588,0.364795683,0.094229243
475,0.000363194,0.696247174,0.401540036,0.103956253
480,0.000203867,0.64222246,0.43810002,0.11611967
485,0.000115693,0.573496166,0.473629817,0.130762835
490,6.63747E-05,0.49269671,0.507263678,0.147880973
495,3.84925E-05,0.404493096,0.538123514,0.167413838
500,2.25605E-05,0.31545848,0.56532156,0.189239499
505,1.33604E-05,0.232921836,0.587962335,0.213170257
510,7.99263E-06,0.162951106,0.605150715,0.238951493
515,4.82886E-06,0.108589932,0.616014568,0.266263946
520,2.94561E-06,0.069529636,0.619750077,0.294729386
525,1.81372E-06,0.043206292,0.615694481,0.323919096
530,1.127E-06,0.026306779,0.603423387,0.353364041
535,7.06524E-07,0.015820603,0.582858644,0.382565309
540,4.46762E-07,0.009456183,0.55436105,0.411003356
545,2.84887E-07,0.00564318,0.518775764,0.438144948
550,1.83154E-07,0.003373178,0.477403617,0.463447292
555,1.1869E-07,0.002024019,0.431890647,0.486359799
560,7.75125E-08,0.001220916,0.384055106,0.506324895
565,5.10039E-08,0.000741084,0.335693245,0.52278034
570,3.38082E-08,0.000452918,0.288410944,0.535166292
575,2.25708E-08,0.000278802,0.243515247,0.542940691
580,1.51738E-08,0.000172894,0.201975798,0.545606028
585,1.02705E-08,0.00010802,0.164443105,0.542748894
590,6.99776E-09,6.7994E-05,0.13129716,0.534090603
595,4.79874E-09,4.31173E-05,0.102699069,0.519542888
600,3.31151E-09,2.7543E-05,0.07862802,0.499258249
605,2.29925E-09,1.77215E-05,0.05890116,0.473661645
610,1.606E-09,1.14832E-05,0.043187482,0.443451087
615,1.12833E-09,7.49278E-06,0.031031312,0.409560285
620,7.97265E-10,4.9224E-06,0.021893754,0.37308595
625,5.66475E-10,3.25539E-06,0.015207302,0.335192395
630,4.04683E-10,2.167E-06,0.010429754,0.297012464
635,2.90636E-10,1.45172E-06,0.007084131,0.259563989
640,2.09811E-10,9.7862E-07,0.00477877,0.223694887
645,1.52231E-10,6.63729E-07,0.003209617,0.190060816
650,1.11E-10,4.52851E-07,0.002150919,0.159130466
655,8.13269E-11,3.10777E-07,0.001440746,0.131207982
660,5.98678E-11,2.14494E-07,0.000965935,0.106460628
665,4.42744E-11,1.48868E-07,0.000648897,0.084942272
670,3.28903E-11,1.03884E-07,0.000437148,0.0666084
675,2.45412E-11,7.28809E-08,0.000295512,0.051324234
680,1.83905E-11,5.13971E-08,0.000200544,0.038871831
685,1.38395E-11,3.64315E-08,0.00013667,0.028962599
690,1.04577E-11,2.59526E-08,9.35545E-05,0.021258387
695,7.93425E-12,1.85781E-08,6.43346E-05,0.01539916
700,6.04347E-12,1.33628E-08,4.44481E-05,0.011031563
705,4.62109E-12,9.65656E-09,3.08538E-05,0.007832358
710,3.54686E-12,7.01025E-09,2.15188E-05,0.005523122
715,2.73243E-12,5.11199E-09,1.50791E-05,0.003875844
720,2.11266E-12,3.74413E-09,1.06161E-05,0.002711403
725,1.63927E-12,2.75408E-09,7.50879E-06,0.001893724
730,1.27638E-12,2.03437E-09,5.33539E-06,0.001322131
735,9.97214E-13,1.50894E-09,3.80826E-06,0.000923653
740,7.8171E-13,1.12375E-09,2.73038E-06,0.000646206
745,6.14783E-13,8.40199E-10,1.96618E-06,0.000453042
750,4.85053E-13,6.30638E-10,1.42199E-06,0.000318439
755,3.83902E-13,4.75147E-10,1.03279E-06,0.00022449
760,3.0478E-13,3.5933E-10,7.53247E-07,0.000158772
765,2.42697E-13,2.72738E-10,5.5162E-07,0.00011268
770,1.93832E-13,2.07755E-10,4.0559E-07,8.0256E-05
775,1.55256E-13,1.58812E-10,2.99398E-07,5.73735E-05
780,1.24711E-13,1.21818E-10,2.21867E-07,4.11694E-05
785,1.00456E-13,9.37576E-11,1.6504E-07,2.9654E-05
790,8.11398E-14,7.24004E-11,1.23227E-07,2.14408E-05
795,6.57142E-14,5.60902E-11,9.23454E-08,1.55614E-05
800,5.33616E-14,4.35932E-11,6.94523E-08,1.13369E-05