wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(580,A1)","LWS(600,A1)","LWS(620,A1)","LWS(640,A1)","LWS(660,A1)"
300,0.510902653,0.116780345,0.061779604,0.046286375,0.041748256,0.037884526,0.034574017,0.03173685
305,0.572002947,0.132966692,0.070741777,0.05278124,0.047497419,0.042995255,0.039137259,0.035831507
310,0.627582469,0.148155932,0.079989266,0.059619604,0.05357874,0.048419526,0.043992192,0.040195283
315,0.679337524,0.161650842,0.089314088,0.066708737,0.059924755,0.054108074,0.049102718,0.044801637
320,0.729610206,0.172867091,0.098480696,0.073937017,0.066452601,0.059999201,0.054422732,0.049615975
325,0.780286852,0.181414886,0.107235676,0.081176186,0.073065195,0.066019331,0.05989633,0.054595659
330,0.831884988,0.187166597,0.11531982,0.088284712,0.079653189,0.07208412,0.065458404,0.059690301
335,0.883073622,0.190300037,0.122481882,0.095112171,0.086097691,0.078100117,0.071035641,0.064842336
340,0.930661001,0.191310112,0.128493151,0.101504499,0.09227367,0.083966956,0.076547918,0.069987907
345,0.969923262,0.19098588,0.133161807,0.10730989,0.098053949,0.089580029,0.081910072,0.075058027
350,0.995106262,0.190354719,0.136346011,0.112385055,0.103313613,0.094833545,0.08703401,0.079980018
355,1,0.190599492,0.137964732,0.116601513,0.107934638,0.099623867,0.091831077,0.084679182
360,0.978592974,0.192957548,0.13800548,0.119851568,0.111810526,0.103852989,0.096214614,0.089080658
365,0.925902632,0.19861195,0.136528387,0.122053627,0.114850708,0.107432001,0.100102601,0.093111402
370,0.839163394,0.208585388,0.133666373,0.123156555,0.116984485,0.110284382,0.103420285,0.096702228
375,0.719666175,0.223646512,0.129621492,0.123142811,0.118164312,0.112348967,0.106102682,0.099789822
380,0.575315258,0.244236993,0.124657857,0.122030197,0.11836823,0.113582445,0.108096832,0.102318668
385,0.422344932,0.270425946,0.119091822,0.119872139,0.117601344,0.113961266,0.109363731,0.104242789
390,0.282201983,0.301895993,0.11328025,0.116756523,0.11589628,0.113482878,0.109879835,0.105527258
395,0.172191195,0.337961953,0.10760778,0.112803199,0.1133126,0.112166221,0.10963808,0.106149388
400,0.097469902,0.377618699,0.102473932,0.108160367,0.109935263,0.110051492,0.108648376,0.106099583
405,0.052328141,0.419609782,0.098280737,0.103000109,0.105872234,0.107199196,0.106937561,0.105381792
410,0.027215806,0.46250432,0.095421326,0.097513383,0.101251414,0.103688553,0.104548827,0.104013574
415,0.013941227,0.504768214,0.094269626,0.091904811,0.096217102,0.099615375,0.101540658,0.102025762
420,0.007113738,0.544818095,0.095171018,0.086387586,0.090926202,0.095089534,0.097985351,0.099461757
425,0.003642031,0.581052817,0.098433596,0.081178735,0.085544411,0.090232183,0.093967197,0.09637649
430,0.001879034,0.611866676,0.10431953,0.076494982,0.080242586,0.085172875,0.089580426,0.092835109
435,0.000979427,0.63565895,0.113036116,0.072549279,0.075193474,0.080046748,0.08492703,0.088911457
440,0.000516492,0.650863235,0.12472627,0.069548043,0.070568933,0.074991901,0.080114564,0.084686416
445,0.00027575,0.65602363,0.139458646,0.067688983,0.066537699,0.070147093,0.075254049,0.080246196
450,0.00014909,0.649938131,0.157218014,0.067159337,0.063263728,0.065649839,0.070458052,0.075680654
455,8.16345E-05,0.631867671,0.177897018,0.068134233,0.060905015,0.061634947,0.065839036,0.071081709
460,4.52622E-05,0.601772602,0.201290723,0.070774849,0.059612786,0.058233504,0.061508034,0.066541918
465,2.54061E-05,0.560499741,0.22709536,0.075226048,0.059530851,0.055572262,0.057573669,0.06215328
470,1.44333E-05,0.509828865,0.254912247,0.08161318,0.060794898,0.053773337,0.05414153,0.058006292
475,8.29632E-06,0.452322194,0.284257067,0.090037871,0.06353146,0.05295409,0.051313867,0.054189277
480,4.82351E-06,0.390999753,0.314573639,0.100572766,0.06785631,0.053227035,0.049189557,0.050787997
485,2.8357E-06,0.32894311,0.345250315,0.113255402,0.07387206,0.054699573,0.047864243,0.047885521
490,1.68516E-06,0.268954403,0.375636509,0.128081646,0.081664831,0.057473368,0.047430545,0.045562316
495,1.01197E-06,0.213348098,0.405056815,0.144999315,0.091299981,0.06164317,0.047978202,0.043896497
500,6.13923E-07,0.163866791,0.432820868,0.163902806,0.102817007,0.067294933,0.049594008,0.042964171
505,3.76139E-07,0.121653051,0.458228462,0.184629549,0.116223935,0.074503128,0.052361393,0.042839766
510,2.32674E-07,0.087220532,0.48057128,0.206959015,0.131491671,0.083327229,0.056359511,0.043596263
515,1.45276E-07,0.060435972,0.499134602,0.230614688,0.14854891,0.093807475,0.061661711,0.04530521
520,9.15314E-08,0.040578216,0.513204199,0.255268978,0.167278265,0.105960128,0.068333339,0.048036405
525,5.81789E-08,0.026514627,0.522084726,0.280550568,0.187514237,0.119772555,0.076428836,0.051857152
530,3.72968E-08,0.016951559,0.525135574,0.30605322,0.209043445,0.135198612,0.08598822,0.056831009
535,2.41094E-08,0.01066419,0.521827513,0.33134482,0.23160728,0.152154811,0.097033083,0.063015958
540,1.57112E-08,0.006636648,0.51181785,0.355975386,0.254906774,0.170517803,0.109562385,0.07046201
545,1.03191E-08,0.004104491,0.495033679,0.379483075,0.278609101,0.190123553,0.123548352,0.079208263
550,6.82962E-09,0.002532005,0.471744188,0.401397768,0.302354878,0.210768454,0.138932891,0.089279559
555,4.55385E-09,0.001562434,0.442598214,0.421242595,0.325765266,0.232212343,0.155624905,0.100682886
560,3.05847E-09,0.000966473,0.408606654,0.438534635,0.348447971,0.254183108,0.173498888,0.113403806
565,2.06866E-09,0.000600194,0.371062792,0.452786929,0.370001516,0.276382355,0.192395015,0.127403188
570,1.40881E-09,0.000374605,0.331413079,0.463514599,0.390017634,0.298491381,0.212120814,0.14261457
575,9.65869E-10,0.000235154,0.29110782,0.470248171,0.408082225,0.320176733,0.232454289,0.158942451
580,6.66514E-10,0.000148538,0.251466987,0.472556768,0.423776006,0.341094681,0.253148145,0.176261745
585,4.62866E-10,9.44409E-05,0.213588433,0.470082365,0.436676574,0.360894252,0.273934628,0.194418509
590,3.23433E-10,6.04494E-05,0.178308846,0.462583635,0.446364095,0.379218815,0.294530382,0.213231922
595,2.27368E-10,3.89553E-05,0.146210154,0.449984198,0.45243297,0.395706714,0.314640768,0.232497333
600,1.60778E-10,2.52748E-05,0.117652741,0.432416224,0.454511415,0.409991911,0.333963189,0.251990037
605,1.14343E-10,1.65097E-05,0.09281452,0.410247881,0.452289762,0.421706062,0.352189227,0.271469355
610,8.17751E-11,1.08566E-05,0.071720877,0.384083841,0.445556243,0.430483765,0.369005698,0.290682554
615,5.88029E-11,7.18634E-06,0.054261446,0.354732907,0.434236276,0.435972754,0.384095095,0.309368181
620,4.25096E-11,4.78783E-06,0.040200626,0.323145036,0.418428415,0.437850499,0.397136251,0.327258523
625,3.08908E-11,3.21022E-06,0.029193754,0.290328679,0.398428227,0.435847711,0.407806396,0.344081114
630,2.25617E-11,2.16593E-06,0.02081708,0.257264959,0.374731691,0.429777739,0.415785953,0.359559432
635,1.65602E-11,1.47032E-06,0.014610022,0.224835284,0.348012965,0.419568774,0.420767464,0.373413241
640,1.22139E-11,1.00411E-06,0.01011992,0.193773792,0.319077219,0.405293638,0.422469704,0.385359286
645,9.05099E-12,6.89765E-07,0.00693815,0.164647996,0.288795743,0.387190486,0.420657311,0.395113288
650,6.73812E-12,4.76556E-07,0.004721169,0.137863395,0.258035354,0.365667817,0.41516509,0.402394327
655,5.03893E-12,3.31106E-07,0.00319654,0.113682941,0.227595178,0.341289445,0.405924582,0.406932659
660,3.78486E-12,2.31316E-07,0.002158105,0.092251071,0.198160959,0.314739185,0.392988877,0.408481763
665,2.85516E-12,1.62473E-07,0.001455479,0.073614144,0.170281457,0.286769986,0.376550521,0.40683484
670,2.16291E-12,1.1472E-07,0.000981994,0.057733514,0.144365566,0.25814617,0.35694734,0.401845032
675,1.64526E-12,8.14207E-08,0.000663555,0.044492614,0.120694268,0.229588981,0.334652495,0.393447494
680,1.25654E-12,5.80784E-08,0.000449461,0.033703068,0.099439631,0.201734121,0.310248082,0.381680171
685,9.63442E-13,4.16327E-08,0.000305382,0.025115448,0.080683592,0.175106225,0.284385265,0.366699297
690,7.41562E-13,2.9988E-08,0.000208231,0.018437424,0.064431882,0.150110682,0.257737201,0.348785505
695,5.72935E-13,2.17024E-08,0.000142546,0.013357617,0.050622115,0.127039329,0.230952596,0.32833748
700,4.44287E-13,1.57788E-08,9.79899E-05,0.009570291,0.039128562,0.106084389,0.204617157,0.305852235
705,3.45771E-13,1.1524E-08,6.76552E-05,0.006795638,0.029767995,0.087354629,0.179227771,0.281893859
710,2.70052E-13,8.45379E-09,4.69204E-05,0.004792533,0.022310323,0.070889094,0.155180846,0.257055219
715,2.11644E-13,6.22848E-09,3.26882E-05,0.003363435,0.016495022,0.056666185,0.132773084,0.231918614
720,1.66432E-13,4.60845E-09,2.28771E-05,0.002353104,0.012051127,0.044608681,0.112210785,0.207021351
725,1.31312E-13,3.42398E-09,1.6084E-05,0.001643572,0.008716748,0.03458749,0.093622952,0.182830692
730,1.03941E-13,2.55432E-09,1.13594E-05,0.001147539,0.006254377,0.026427562,0.077073982,0.159730141
735,8.25364E-14,1.91315E-09,8.05893E-06,0.000801711,0.00446007,0.019918206,0.062573213,0.138016525
740,6.57445E-14,1.43854E-09,5.74296E-06,0.000560911,0.003166572,0.014827712,0.050080683,0.117905328
745,5.2529E-14,1.08581E-09,4.11062E-06,0.000393254,0.002241837,0.010919956,0.03951044,0.099540696
750,4.20958E-14,8.22649E-10,2.95506E-06,0.00027642,0.001584776,0.007969791,0.03073398,0.083006529
755,3.38339E-14,6.25565E-10,2.13346E-06,0.000194871,0.001119873,0.005774607,0.023586259,0.068335906
760,2.72717E-14,4.77414E-10,1.54679E-06,0.000137826,0.000791787,0.004160918,0.01787547,0.055517474
765,2.20444E-14,3.65639E-10,1.12611E-06,9.78154E-05,0.000560543,0.002986276,0.013395838,0.044499096
770,1.78683E-14,2.81005E-10,8.2319E-07,6.96694E-05,0.000397583,0.002137726,0.009941313,0.035190329
775,1.45227E-14,2.16696E-10,6.04169E-07,4.98057E-05,0.00028266,0.001528195,0.007317674,0.027465854
780,1.18349E-14,1.67662E-10,4.45169E-07,3.57392E-05,0.0002015,0.001092073,0.005351262,0.021171513
785,9.66969E-15,1.30148E-10,3.29284E-07,2.57427E-05,0.000144071,0.000780793,0.003893693,0.016133355
790,7.92086E-15,1.01352E-10,2.44493E-07,1.86129E-05,0.000103337,0.000558891,0.002822953,0.012168689
795,6.50463E-15,7.91759E-11,1.82213E-07,1.3509E-05,7.4366E-05,0.00040074,0.00204187,0.009097312
800,5.35478E-15,6.20432E-11,1.36296E-07,9.84172E-06,5.37006E-05,0.000287958,0.001475053,0.006751018